start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1 with read ROI [700:5700, 368:4368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4498 with read ROI [700:5700, 8368:12368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 8368:12368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/26 with read ROI [700:5700, 12368:16368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/62 with read ROI [700:5700, 12368:16368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/126 with read ROI [700:5700, 12368:16368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1146 with read ROI [700:5700, 12368:16368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 12368:16368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/296 with read ROI [700:5700, 16368:20368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1781 with read ROI [700:5700, 16368:20368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 16368:20368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/575 with read ROI [700:5700, 20368:24368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1786 with read ROI [700:5700, 20368:24368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 20368:24368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/990 with read ROI [700:5700, 24368:28368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3675 with read ROI [700:5700, 24368:28368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 24368:28368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1358 with read ROI [700:5700, 28368:32368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3682 with read ROI [700:5700, 28368:32368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1576 with read ROI [700:5700, 32368:36368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4096 with read ROI [700:5700, 32368:36368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3321 with read ROI [700:5700, 36368:40368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1826 with read ROI [700:5700, 40368:44368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5015 with read ROI [700:5700, 40368:44368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1206 with read ROI [700:5700, 44368:48368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4561 with read ROI [700:5700, 44368:48368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6611 with read ROI [700:5700, 44368:48368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7206 with read ROI [700:5700, 44368:48368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7836 with read ROI [700:5700, 44368:48368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8502 with read ROI [700:5700, 44368:48368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9205 with read ROI [700:5700, 44368:48368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9946 with read ROI [700:5700, 44368:48368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 44368:48368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/442 with read ROI [700:5700, 48368:52368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/533 with read ROI [700:5700, 48368:52368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/758 with read ROI [700:5700, 48368:52368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1618 with read ROI [700:5700, 48368:52368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4138 with read ROI [700:5700, 48368:52368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1060 with read ROI [700:5700, 52368:56368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4151 with read ROI [700:5700, 52368:56368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7861 with read ROI [700:5700, 52368:56368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/11571 with read ROI [700:5700, 52368:56368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 52368:56368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/921 with read ROI [700:5700, 56368:60368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4600 with read ROI [700:5700, 56368:60368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1891 with read ROI [700:5700, 60368:64368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7890 with read ROI [700:5700, 60368:64368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2436 with read ROI [700:5700, 64368:68368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7276 with read ROI [700:5700, 64368:68368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2753 with read ROI [700:5700, 68368:72368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6698 with read ROI [700:5700, 68368:72368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4231 with read ROI [700:5700, 72368:76368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7311 with read ROI [700:5700, 72368:76368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4685 with read ROI [700:5700, 76368:80368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 76368:80368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8626 with read ROI [700:5700, 76368:80368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 76368:80368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4705 with read ROI [700:5700, 80368:84368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10870 with read ROI [700:5700, 80368:84368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5687 with read ROI [700:5700, 84368:88368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/16446 with read ROI [700:5700, 84368:88368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/18655 with read ROI [700:5700, 84368:88368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2277 with read ROI [700:5700, 88368:92368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2553 with read ROI [700:5700, 88368:92368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3178 with read ROI [700:5700, 88368:92368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5213 with read ROI [700:5700, 88368:92368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6798 with read ROI [700:5700, 88368:92368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9392 with read ROI [700:5700, 88368:92368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10913 with read ROI [700:5700, 88368:92368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1142 with read ROI [5700:10700, 368:4368, 68368:72368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2927 with read ROI [5700:10700, 368:4368, 96368:100368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/39 with read ROI [5700:10700, 4368:8368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/368 with read ROI [5700:10700, 4368:8368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1144 with read ROI [5700:10700, 4368:8368, 64368:68368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4064 with read ROI [5700:10700, 4368:8368, 104368:108368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/42 with read ROI [5700:10700, 8368:12368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/293 with read ROI [5700:10700, 8368:12368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2031 with read ROI [5700:10700, 8368:12368, 76368:80368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/691 with read ROI [5700:10700, 12368:16368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1782 with read ROI [5700:10700, 12368:16368, 68368:72368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/985 with read ROI [5700:10700, 16368:20368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3292 with read ROI [5700:10700, 16368:20368, 84368:88368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/838 with read ROI [5700:10700, 20368:24368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5478 with read ROI [5700:10700, 20368:24368, 100368:104368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/149 with read ROI [5700:10700, 24368:28368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/249 with read ROI [5700:10700, 24368:28368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1359 with read ROI [5700:10700, 24368:28368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4524 with read ROI [5700:10700, 24368:28368, 88368:92368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6013 with read ROI [5700:10700, 24368:28368, 100368:104368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7169 with read ROI [5700:10700, 24368:28368, 108368:111944] (5000, 4000, 3576) and write ROI [5700:10700, 24368:28368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/202 with read ROI [5700:10700, 28368:32368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/401 with read ROI [5700:10700, 28368:32368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1577 with read ROI [5700:10700, 28368:32368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3691 with read ROI [5700:10700, 28368:32368, 76368:80368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1015 with read ROI [5700:10700, 32368:36368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2971 with read ROI [5700:10700, 32368:36368, 64368:68368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1386 with read ROI [5700:10700, 36368:40368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5016 with read ROI [5700:10700, 36368:40368, 80368:84368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2091 with read ROI [5700:10700, 40368:44368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3721 with read ROI [5700:10700, 40368:44368, 64368:68368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2103 with read ROI [5700:10700, 44368:48368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5535 with read ROI [5700:10700, 44368:48368, 76368:80368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1863 with read ROI [5700:10700, 48368:52368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3746 with read ROI [5700:10700, 48368:52368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9231 with read ROI [5700:10700, 48368:52368, 96368:100368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9972 with read ROI [5700:10700, 48368:52368, 100368:104368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/11572 with read ROI [5700:10700, 48368:52368, 108368:111944] (5000, 4000, 3576) and write ROI [5700:10700, 48368:52368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/786 with read ROI [5700:10700, 52368:56368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1246 with read ROI [5700:10700, 52368:56368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3031 with read ROI [5700:10700, 52368:56368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6090 with read ROI [5700:10700, 52368:56368, 72368:76368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1451 with read ROI [5700:10700, 56368:60368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3775 with read ROI [5700:10700, 56368:60368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9260 with read ROI [5700:10700, 56368:60368, 88368:92368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1467 with read ROI [5700:10700, 60368:64368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 60368:64368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3791 with read ROI [5700:10700, 60368:64368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 60368:64368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10017 with read ROI [5700:10700, 60368:64368, 88368:92368] (5000, 4000, 4000) and write ROI [5700:10700, 60368:64368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2454 with read ROI [5700:10700, 64368:68368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 64368:68368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7924 with read ROI [5700:10700, 64368:68368, 72368:76368] (5000, 4000, 4000) and write ROI [5700:10700, 64368:68368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3826 with read ROI [5700:10700, 68368:72368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 68368:72368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9311 with read ROI [5700:10700, 68368:72368, 76368:80368] (5000, 4000, 4000) and write ROI [5700:10700, 68368:72368, 76368:80368] (5000, 4000, 4000)
