start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10 with read ROI [700:5700, 368:4368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1799 with read ROI [700:5700, 28368:32368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5484 with read ROI [700:5700, 28368:32368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6012 with read ROI [700:5700, 28368:32368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7168 with read ROI [700:5700, 28368:32368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 28368:32368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/201 with read ROI [700:5700, 32368:36368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/400 with read ROI [700:5700, 32368:36368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1807 with read ROI [700:5700, 32368:36368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/725 with read ROI [700:5700, 36368:40368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2970 with read ROI [700:5700, 36368:40368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/510 with read ROI [700:5700, 40368:44368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1595 with read ROI [700:5700, 40368:44368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6039 with read ROI [700:5700, 40368:44368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7195 with read ROI [700:5700, 40368:44368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7825 with read ROI [700:5700, 40368:44368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8491 with read ROI [700:5700, 40368:44368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/352 with read ROI [700:5700, 44368:48368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/521 with read ROI [700:5700, 44368:48368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2666 with read ROI [700:5700, 44368:48368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1047 with read ROI [700:5700, 48368:52368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3003 with read ROI [700:5700, 48368:52368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1231 with read ROI [700:5700, 52368:56368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4586 with read ROI [700:5700, 52368:56368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2405 with read ROI [700:5700, 56368:60368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5561 with read ROI [700:5700, 56368:60368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4180 with read ROI [700:5700, 60368:64368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10000 with read ROI [700:5700, 60368:64368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/11600 with read ROI [700:5700, 60368:64368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/13364 with read ROI [700:5700, 60368:64368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 60368:64368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1276 with read ROI [700:5700, 64368:68368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4631 with read ROI [700:5700, 64368:68368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2177 with read ROI [700:5700, 68368:72368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7293 with read ROI [700:5700, 68368:72368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2471 with read ROI [700:5700, 72368:76368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6716 with read ROI [700:5700, 72368:76368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3115 with read ROI [700:5700, 76368:80368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 76368:80368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6735 with read ROI [700:5700, 76368:80368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 76368:80368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3135 with read ROI [700:5700, 80368:84368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6194 with read ROI [700:5700, 80368:84368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3507 with read ROI [700:5700, 84368:88368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5191 with read ROI [700:5700, 84368:88368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/11711 with read ROI [700:5700, 84368:88368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/823 with read ROI [5700:10700, 8368:12368, 52368:56368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2932 with read ROI [5700:10700, 8368:12368, 88368:92368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3283 with read ROI [5700:10700, 8368:12368, 92368:96368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3661 with read ROI [5700:10700, 8368:12368, 96368:100368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4067 with read ROI [5700:10700, 8368:12368, 100368:104368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4502 with read ROI [5700:10700, 8368:12368, 104368:108368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4967 with read ROI [5700:10700, 8368:12368, 108368:111944] (5000, 4000, 3576) and write ROI [5700:10700, 8368:12368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/31 with read ROI [5700:10700, 12368:16368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/46 with read ROI [5700:10700, 12368:16368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/67 with read ROI [5700:10700, 12368:16368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/131 with read ROI [5700:10700, 12368:16368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1551 with read ROI [5700:10700, 12368:16368, 64368:68368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/302 with read ROI [5700:10700, 16368:20368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1556 with read ROI [5700:10700, 16368:20368, 60368:64368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/582 with read ROI [5700:10700, 20368:24368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3676 with read ROI [5700:10700, 20368:24368, 84368:88368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/845 with read ROI [5700:10700, 24368:28368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3683 with read ROI [5700:10700, 24368:28368, 80368:84368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/597 with read ROI [5700:10700, 28368:32368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4532 with read ROI [5700:10700, 28368:32368, 84368:88368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1817 with read ROI [5700:10700, 32368:36368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6591 with read ROI [5700:10700, 32368:36368, 96368:100368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8482 with read ROI [5700:10700, 32368:36368, 108368:111944] (5000, 4000, 3576) and write ROI [5700:10700, 32368:36368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/342 with read ROI [5700:10700, 36368:40368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/511 with read ROI [5700:10700, 36368:40368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2356 with read ROI [5700:10700, 36368:40368, 52368:56368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/353 with read ROI [5700:10700, 40368:44368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/747 with read ROI [5700:10700, 40368:44368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2992 with read ROI [5700:10700, 40368:44368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1048 with read ROI [5700:10700, 44368:48368, 20368:24368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4574 with read ROI [5700:10700, 44368:48368, 68368:72368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2392 with read ROI [5700:10700, 48368:52368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7232 with read ROI [5700:10700, 48368:52368, 84368:88368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2406 with read ROI [5700:10700, 52368:56368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6651 with read ROI [5700:10700, 52368:56368, 76368:80368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1892 with read ROI [5700:10700, 56368:60368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6105 with read ROI [5700:10700, 56368:60368, 68368:72368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4632 with read ROI [5700:10700, 60368:64368, 52368:56368] (5000, 4000, 4000) and write ROI [5700:10700, 60368:64368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10797 with read ROI [5700:10700, 60368:64368, 92368:96368] (5000, 4000, 4000) and write ROI [5700:10700, 60368:64368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/13381 with read ROI [5700:10700, 60368:64368, 104368:108368] (5000, 4000, 4000) and write ROI [5700:10700, 60368:64368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1694 with read ROI [5700:10700, 64368:68368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 64368:68368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4214 with read ROI [5700:10700, 64368:68368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 64368:68368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/12495 with read ROI [5700:10700, 64368:68368, 96368:100368] (5000, 4000, 4000) and write ROI [5700:10700, 64368:68368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/13398 with read ROI [5700:10700, 64368:68368, 100368:104368] (5000, 4000, 4000) and write ROI [5700:10700, 64368:68368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1312 with read ROI [5700:10700, 68368:72368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 68368:72368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1502 with read ROI [5700:10700, 68368:72368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 68368:72368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1943 with read ROI [5700:10700, 68368:72368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 68368:72368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5132 with read ROI [5700:10700, 68368:72368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 68368:72368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/14362 with read ROI [5700:10700, 68368:72368, 100368:104368] (5000, 4000, 4000) and write ROI [5700:10700, 68368:72368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1962 with read ROI [5700:10700, 72368:76368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 72368:76368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5151 with read ROI [5700:10700, 72368:76368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 72368:76368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2235 with read ROI [5700:10700, 76368:80368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 76368:80368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7351 with read ROI [5700:10700, 76368:80368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 76368:80368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/14401 with read ROI [5700:10700, 76368:80368, 92368:96368] (5000, 4000, 4000) and write ROI [5700:10700, 76368:80368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/17507 with read ROI [5700:10700, 76368:80368, 104368:108368] (5000, 4000, 4000) and write ROI [5700:10700, 76368:80368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2532 with read ROI [5700:10700, 80368:84368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 80368:84368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7372 with read ROI [5700:10700, 80368:84368, 52368:56368] (5000, 4000, 4000) and write ROI [5700:10700, 80368:84368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/17528 with read ROI [5700:10700, 80368:84368, 100368:104368] (5000, 4000, 4000) and write ROI [5700:10700, 80368:84368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2554 with read ROI [5700:10700, 84368:88368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 84368:88368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5214 with read ROI [5700:10700, 84368:88368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 84368:88368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7394 with read ROI [5700:10700, 84368:88368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 84368:88368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/12595 with read ROI [5700:10700, 84368:88368, 76368:80368] (5000, 4000, 4000) and write ROI [5700:10700, 84368:88368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/376 with read ROI [10700:15700, 8368:12368, 32368:36368] (5000, 4000, 4000) and write ROI [10700:15700, 8368:12368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3288 with read ROI [10700:15700, 8368:12368, 88368:92368] (5000, 4000, 4000) and write ROI [10700:15700, 8368:12368, 88368:92368] (5000, 4000, 4000)
