start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/0 with read ROI [700:5700, 368:4368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5627 with read ROI [700:5700, 72368:76368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/11651 with read ROI [700:5700, 72368:76368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/14361 with read ROI [700:5700, 72368:76368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/16386 with read ROI [700:5700, 72368:76368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 72368:76368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1730 with read ROI [700:5700, 76368:80368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 76368:80368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2490 with read ROI [700:5700, 76368:80368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 76368:80368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7330 with read ROI [700:5700, 76368:80368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 76368:80368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3486 with read ROI [700:5700, 80368:84368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8646 with read ROI [700:5700, 80368:84368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3156 with read ROI [700:5700, 84368:88368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8667 with read ROI [700:5700, 84368:88368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3907 with read ROI [700:5700, 88368:92368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5709 with read ROI [700:5700, 88368:92368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8023 with read ROI [700:5700, 88368:92368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/12594 with read ROI [700:5700, 88368:92368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/18724 with read ROI [700:5700, 96368:100368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 96368:100368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/23726 with read ROI [700:5700, 96368:100368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 96368:100368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4385 with read ROI [700:5700, 100368:103240, 12368:16368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 12368:16368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6309 with read ROI [700:5700, 100368:103240, 28368:32368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 28368:32368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9464 with read ROI [700:5700, 100368:103240, 48368:52368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 48368:52368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/14515 with read ROI [700:5700, 100368:103240, 72368:76368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 72368:76368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/18749 with read ROI [700:5700, 100368:103240, 88368:92368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 88368:92368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/25129 with read ROI [700:5700, 100368:103240, 108368:111944] (5000, 2872, 3576) and write ROI [700:5700, 100368:103240, 108368:111944] (5000, 2872, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/58 with read ROI [5700:10700, 368:4368, 20368:24368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/366 with read ROI [5700:10700, 368:4368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1332 with read ROI [5700:10700, 368:4368, 72368:76368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/24 with read ROI [5700:10700, 4368:8368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/290 with read ROI [5700:10700, 4368:8368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/973 with read ROI [5700:10700, 4368:8368, 60368:64368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2604 with read ROI [5700:10700, 4368:8368, 88368:92368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2929 with read ROI [5700:10700, 4368:8368, 92368:96368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3280 with read ROI [5700:10700, 4368:8368, 96368:100368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4499 with read ROI [5700:10700, 4368:8368, 108368:111944] (5000, 4000, 3576) and write ROI [5700:10700, 4368:8368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/63 with read ROI [5700:10700, 8368:12368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/687 with read ROI [5700:10700, 8368:12368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1547 with read ROI [5700:10700, 8368:12368, 68368:72368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/466 with read ROI [5700:10700, 12368:16368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/136 with read ROI [5700:10700, 16368:20368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1346 with read ROI [5700:10700, 16368:20368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4076 with read ROI [5700:10700, 16368:20368, 92368:96368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4511 with read ROI [5700:10700, 16368:20368, 96368:100368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4976 with read ROI [5700:10700, 16368:20368, 100368:104368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6000 with read ROI [5700:10700, 16368:20368, 108368:111944] (5000, 4000, 3576) and write ROI [5700:10700, 16368:20368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/106 with read ROI [5700:10700, 20368:24368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/242 with read ROI [5700:10700, 20368:24368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1562 with read ROI [5700:10700, 20368:24368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/315 with read ROI [5700:10700, 24368:28368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1569 with read ROI [5700:10700, 24368:28368, 52368:56368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/492 with read ROI [5700:10700, 28368:32368, 20368:24368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2337 with read ROI [5700:10700, 28368:32368, 60368:64368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1376 with read ROI [5700:10700, 32368:36368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5502 with read ROI [5700:10700, 32368:36368, 88368:92368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6030 with read ROI [5700:10700, 32368:36368, 92368:96368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7186 with read ROI [5700:10700, 32368:36368, 100368:104368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7816 with read ROI [5700:10700, 32368:36368, 104368:108368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/276 with read ROI [5700:10700, 36368:40368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/420 with read ROI [5700:10700, 36368:40368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/616 with read ROI [5700:10700, 36368:40368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2981 with read ROI [5700:10700, 36368:40368, 60368:64368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7826 with read ROI [5700:10700, 36368:40368, 100368:104368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/431 with read ROI [5700:10700, 40368:44368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/883 with read ROI [5700:10700, 40368:44368, 20368:24368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3343 with read ROI [5700:10700, 40368:44368, 60368:64368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/759 with read ROI [5700:10700, 44368:48368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2379 with read ROI [5700:10700, 44368:48368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4139 with read ROI [5700:10700, 44368:48368, 64368:68368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/547 with read ROI [5700:10700, 48368:52368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1422 with read ROI [5700:10700, 48368:52368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6637 with read ROI [5700:10700, 48368:52368, 80368:84368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2706 with read ROI [5700:10700, 52368:56368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7876 with read ROI [5700:10700, 52368:56368, 84368:88368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2145 with read ROI [5700:10700, 56368:60368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7891 with read ROI [5700:10700, 56368:60368, 80368:84368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3062 with read ROI [5700:10700, 60368:64368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 60368:64368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6121 with read ROI [5700:10700, 60368:64368, 64368:68368] (5000, 4000, 4000) and write ROI [5700:10700, 60368:64368, 64368:68368] (5000, 4000, 4000)
