start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/84 with read ROI [700:5700, 368:4368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/17506 with read ROI [700:5700, 80368:84368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2002 with read ROI [700:5700, 84368:88368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2531 with read ROI [700:5700, 84368:88368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6215 with read ROI [700:5700, 84368:88368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/15411 with read ROI [700:5700, 84368:88368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/17527 with read ROI [700:5700, 84368:88368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/19831 with read ROI [700:5700, 84368:88368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 84368:88368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2853 with read ROI [700:5700, 88368:92368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4313 with read ROI [700:5700, 88368:92368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6237 with read ROI [700:5700, 88368:92368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8689 with read ROI [700:5700, 88368:92368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/11733 with read ROI [700:5700, 88368:92368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7465 with read ROI [700:5700, 100368:103240, 36368:40368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 36368:40368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10985 with read ROI [700:5700, 100368:103240, 56368:60368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 56368:60368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/16540 with read ROI [700:5700, 100368:103240, 80368:84368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 80368:84368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/22425 with read ROI [700:5700, 100368:103240, 100368:104368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 100368:104368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/37 with read ROI [5700:10700, 368:4368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/288 with read ROI [5700:10700, 368:4368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/971 with read ROI [5700:10700, 368:4368, 64368:68368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2602 with read ROI [5700:10700, 368:4368, 92368:96368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8 with read ROI [5700:10700, 4368:8368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/124 with read ROI [5700:10700, 4368:8368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/684 with read ROI [5700:10700, 4368:8368, 52368:56368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2304 with read ROI [5700:10700, 4368:8368, 84368:88368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/371 with read ROI [5700:10700, 8368:12368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1337 with read ROI [5700:10700, 8368:12368, 64368:68368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/297 with read ROI [5700:10700, 12368:16368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3287 with read ROI [5700:10700, 12368:16368, 88368:92368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3665 with read ROI [5700:10700, 12368:16368, 92368:96368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4071 with read ROI [5700:10700, 12368:16368, 96368:100368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4506 with read ROI [5700:10700, 12368:16368, 100368:104368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4971 with read ROI [5700:10700, 12368:16368, 104368:108368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5467 with read ROI [5700:10700, 12368:16368, 108368:111944] (5000, 4000, 3576) and write ROI [5700:10700, 12368:16368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/51 with read ROI [5700:10700, 16368:20368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/72 with read ROI [5700:10700, 16368:20368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/100 with read ROI [5700:10700, 16368:20368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/380 with read ROI [5700:10700, 16368:20368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2040 with read ROI [5700:10700, 16368:20368, 68368:72368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/386 with read ROI [5700:10700, 20368:24368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2622 with read ROI [5700:10700, 20368:24368, 72368:76368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/589 with read ROI [5700:10700, 24368:28368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3305 with read ROI [5700:10700, 24368:28368, 76368:80368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1367 with read ROI [5700:10700, 28368:32368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2637 with read ROI [5700:10700, 28368:32368, 64368:68368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/501 with read ROI [5700:10700, 32368:36368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2346 with read ROI [5700:10700, 32368:36368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1025 with read ROI [5700:10700, 36368:40368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2656 with read ROI [5700:10700, 36368:40368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1036 with read ROI [5700:10700, 40368:44368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5027 with read ROI [5700:10700, 40368:44368, 76368:80368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1850 with read ROI [5700:10700, 44368:48368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3355 with read ROI [5700:10700, 44368:48368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8515 with read ROI [5700:10700, 44368:48368, 96368:100368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1061 with read ROI [5700:10700, 48368:52368, 16368:20368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4152 with read ROI [5700:10700, 48368:52368, 60368:64368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2130 with read ROI [5700:10700, 52368:56368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7246 with read ROI [5700:10700, 52368:56368, 80368:84368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2421 with read ROI [5700:10700, 56368:60368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7261 with read ROI [5700:10700, 56368:60368, 76368:80368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1908 with read ROI [5700:10700, 60368:64368, 20368:24368] (5000, 4000, 4000) and write ROI [5700:10700, 60368:64368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6682 with read ROI [5700:10700, 60368:64368, 68368:72368] (5000, 4000, 4000) and write ROI [5700:10700, 60368:64368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3079 with read ROI [5700:10700, 64368:68368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 64368:68368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6699 with read ROI [5700:10700, 64368:68368, 64368:68368] (5000, 4000, 4000) and write ROI [5700:10700, 64368:68368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3448 with read ROI [5700:10700, 68368:72368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 68368:72368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8608 with read ROI [5700:10700, 68368:72368, 72368:76368] (5000, 4000, 4000) and write ROI [5700:10700, 68368:72368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3467 with read ROI [5700:10700, 72368:76368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 72368:76368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8627 with read ROI [5700:10700, 72368:76368, 68368:72368] (5000, 4000, 4000) and write ROI [5700:10700, 72368:76368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/16406 with read ROI [5700:10700, 72368:76368, 104368:108368] (5000, 4000, 4000) and write ROI [5700:10700, 72368:76368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4271 with read ROI [5700:10700, 76368:80368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 76368:80368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10091 with read ROI [5700:10700, 76368:80368, 72368:76368] (5000, 4000, 4000) and write ROI [5700:10700, 76368:80368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5688 with read ROI [5700:10700, 80368:84368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 80368:84368, 40368:44368] (5000, 4000, 4000)
