start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/20 with read ROI [700:5700, 368:4368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/210 with read ROI [700:5700, 36368:40368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/409 with read ROI [700:5700, 36368:40368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2069 with read ROI [700:5700, 36368:40368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/735 with read ROI [700:5700, 40368:44368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2980 with read ROI [700:5700, 40368:44368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/882 with read ROI [700:5700, 44368:48368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4126 with read ROI [700:5700, 44368:48368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1218 with read ROI [700:5700, 48368:52368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5038 with read ROI [700:5700, 48368:52368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2115 with read ROI [700:5700, 52368:56368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5547 with read ROI [700:5700, 52368:56368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1876 with read ROI [700:5700, 56368:60368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6650 with read ROI [700:5700, 56368:60368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2144 with read ROI [700:5700, 60368:64368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5576 with read ROI [700:5700, 60368:64368, 64368:68368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2160 with read ROI [700:5700, 64368:68368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9275 with read ROI [700:5700, 64368:68368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3807 with read ROI [700:5700, 68368:72368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7923 with read ROI [700:5700, 68368:72368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3447 with read ROI [700:5700, 72368:76368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7941 with read ROI [700:5700, 72368:76368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5150 with read ROI [700:5700, 76368:80368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 76368:80368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/11670 with read ROI [700:5700, 76368:80368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 76368:80368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6755 with read ROI [700:5700, 80368:84368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/13454 with read ROI [700:5700, 80368:84368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/16425 with read ROI [700:5700, 80368:84368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/18634 with read ROI [700:5700, 80368:84368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 80368:84368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2255 with read ROI [700:5700, 84368:88368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2831 with read ROI [700:5700, 84368:88368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6776 with read ROI [700:5700, 84368:88368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/12572 with read ROI [700:5700, 84368:88368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/462 with read ROI [5700:10700, 8368:12368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1147 with read ROI [5700:10700, 8368:12368, 60368:64368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/95 with read ROI [5700:10700, 12368:16368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/375 with read ROI [5700:10700, 12368:16368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2035 with read ROI [5700:10700, 12368:16368, 72368:76368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/696 with read ROI [5700:10700, 16368:20368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/142 with read ROI [5700:10700, 20368:24368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/702 with read ROI [5700:10700, 20368:24368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2046 with read ROI [5700:10700, 20368:24368, 64368:68368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/709 with read ROI [5700:10700, 24368:28368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2629 with read ROI [5700:10700, 24368:28368, 68368:72368] (5000, 4000, 4000) and write ROI [5700:10700, 24368:28368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/853 with read ROI [5700:10700, 28368:32368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5493 with read ROI [5700:10700, 28368:32368, 92368:96368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6582 with read ROI [5700:10700, 28368:32368, 100368:104368] (5000, 4000, 4000) and write ROI [5700:10700, 28368:32368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7807 with read ROI [5700:10700, 28368:32368, 108368:111944] (5000, 4000, 3576) and write ROI [5700:10700, 28368:32368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/266 with read ROI [5700:10700, 32368:36368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/410 with read ROI [5700:10700, 32368:36368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2070 with read ROI [5700:10700, 32368:36368, 52368:56368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3700 with read ROI [5700:10700, 32368:36368, 72368:76368] (5000, 4000, 4000) and write ROI [5700:10700, 32368:36368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1596 with read ROI [5700:10700, 36368:40368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6040 with read ROI [5700:10700, 36368:40368, 88368:92368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7196 with read ROI [5700:10700, 36368:40368, 96368:100368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8492 with read ROI [5700:10700, 36368:40368, 104368:108368] (5000, 4000, 4000) and write ROI [5700:10700, 36368:40368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/522 with read ROI [5700:10700, 40368:44368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2367 with read ROI [5700:10700, 40368:44368, 48368:52368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6051 with read ROI [5700:10700, 40368:44368, 84368:88368] (5000, 4000, 4000) and write ROI [5700:10700, 40368:44368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1409 with read ROI [5700:10700, 44368:48368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5039 with read ROI [5700:10700, 44368:48368, 72368:76368] (5000, 4000, 4000) and write ROI [5700:10700, 44368:48368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10739 with read ROI [5700:10700, 44368:48368, 108368:111944] (5000, 4000, 3576) and write ROI [5700:10700, 44368:48368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/652 with read ROI [5700:10700, 48368:52368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1632 with read ROI [5700:10700, 48368:52368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5052 with read ROI [5700:10700, 48368:52368, 68368:72368] (5000, 4000, 4000) and write ROI [5700:10700, 48368:52368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1877 with read ROI [5700:10700, 52368:56368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5562 with read ROI [5700:10700, 52368:56368, 68368:72368] (5000, 4000, 4000) and write ROI [5700:10700, 52368:56368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3046 with read ROI [5700:10700, 56368:60368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6666 with read ROI [5700:10700, 56368:60368, 72368:76368] (5000, 4000, 4000) and write ROI [5700:10700, 56368:60368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2161 with read ROI [5700:10700, 60368:64368, 24368:28368] (5000, 4000, 4000) and write ROI [5700:10700, 60368:64368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8573 with read ROI [5700:10700, 60368:64368, 80368:84368] (5000, 4000, 4000) and write ROI [5700:10700, 60368:64368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/12478 with read ROI [5700:10700, 60368:64368, 100368:104368] (5000, 4000, 4000) and write ROI [5700:10700, 60368:64368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1123 with read ROI [5700:10700, 64368:68368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 64368:68368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1484 with read ROI [5700:10700, 64368:68368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 64368:68368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6138 with read ROI [5700:10700, 64368:68368, 60368:64368] (5000, 4000, 4000) and write ROI [5700:10700, 64368:68368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/11634 with read ROI [5700:10700, 64368:68368, 92368:96368] (5000, 4000, 4000) and write ROI [5700:10700, 64368:68368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/14344 with read ROI [5700:10700, 64368:68368, 104368:108368] (5000, 4000, 4000) and write ROI [5700:10700, 64368:68368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/15334 with read ROI [5700:10700, 64368:68368, 108368:111944] (5000, 4000, 3576) and write ROI [5700:10700, 64368:68368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1712 with read ROI [5700:10700, 68368:72368, 8368:12368] (5000, 4000, 4000) and write ROI [5700:10700, 68368:72368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4232 with read ROI [5700:10700, 68368:72368, 40368:44368] (5000, 4000, 4000) and write ROI [5700:10700, 68368:72368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10052 with read ROI [5700:10700, 68368:72368, 80368:84368] (5000, 4000, 4000) and write ROI [5700:10700, 68368:72368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/16387 with read ROI [5700:10700, 68368:72368, 108368:111944] (5000, 4000, 3576) and write ROI [5700:10700, 68368:72368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3845 with read ROI [5700:10700, 72368:76368, 32368:36368] (5000, 4000, 4000) and write ROI [5700:10700, 72368:76368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10851 with read ROI [5700:10700, 72368:76368, 80368:84368] (5000, 4000, 4000) and write ROI [5700:10700, 72368:76368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/17487 with read ROI [5700:10700, 72368:76368, 108368:111944] (5000, 4000, 3576) and write ROI [5700:10700, 72368:76368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4706 with read ROI [5700:10700, 76368:80368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 76368:80368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9350 with read ROI [5700:10700, 76368:80368, 68368:72368] (5000, 4000, 4000) and write ROI [5700:10700, 76368:80368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/13455 with read ROI [5700:10700, 76368:80368, 88368:92368] (5000, 4000, 4000) and write ROI [5700:10700, 76368:80368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2256 with read ROI [5700:10700, 80368:84368, 4368:8368] (5000, 4000, 4000) and write ROI [5700:10700, 80368:84368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4292 with read ROI [5700:10700, 80368:84368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 80368:84368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10112 with read ROI [5700:10700, 80368:84368, 68368:72368] (5000, 4000, 4000) and write ROI [5700:10700, 80368:84368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3179 with read ROI [5700:10700, 84368:88368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 84368:88368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10134 with read ROI [5700:10700, 84368:88368, 64368:68368] (5000, 4000, 4000) and write ROI [5700:10700, 84368:88368, 64368:68368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/692 with read ROI [10700:15700, 8368:12368, 44368:48368] (5000, 4000, 4000) and write ROI [10700:15700, 8368:12368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2612 with read ROI [10700:15700, 8368:12368, 80368:84368] (5000, 4000, 4000) and write ROI [10700:15700, 8368:12368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/577 with read ROI [10700:15700, 12368:16368, 36368:40368] (5000, 4000, 4000) and write ROI [10700:15700, 12368:16368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5473 with read ROI [10700:15700, 12368:16368, 104368:108368] (5000, 4000, 4000) and write ROI [10700:15700, 12368:16368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/143 with read ROI [10700:15700, 16368:20368, 8368:12368] (5000, 4000, 4000) and write ROI [10700:15700, 16368:20368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/583 with read ROI [10700:15700, 16368:20368, 32368:36368] (5000, 4000, 4000) and write ROI [10700:15700, 16368:20368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2948 with read ROI [10700:15700, 16368:20368, 76368:80368] (5000, 4000, 4000) and write ROI [10700:15700, 16368:20368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/710 with read ROI [10700:15700, 20368:24368, 32368:36368] (5000, 4000, 4000) and write ROI [10700:15700, 20368:24368, 32368:36368] (5000, 4000, 4000)
