start
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/120 with read ROI [700:5700, 368:4368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 368:4368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/148 with read ROI [700:5700, 28368:32368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/193 with read ROI [700:5700, 28368:32368, 8368:12368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 8368:12368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/248 with read ROI [700:5700, 28368:32368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2052 with read ROI [700:5700, 28368:32368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 28368:32368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/596 with read ROI [700:5700, 32368:36368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2336 with read ROI [700:5700, 32368:36368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 32368:36368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/861 with read ROI [700:5700, 36368:40368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2645 with read ROI [700:5700, 36368:40368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4540 with read ROI [700:5700, 36368:40368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 36368:40368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1024 with read ROI [700:5700, 40368:44368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4550 with read ROI [700:5700, 40368:44368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 40368:44368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1396 with read ROI [700:5700, 44368:48368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3342 with read ROI [700:5700, 44368:48368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 44368:48368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1408 with read ROI [700:5700, 48368:52368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4573 with read ROI [700:5700, 48368:52368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7218 with read ROI [700:5700, 48368:52368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7848 with read ROI [700:5700, 48368:52368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9217 with read ROI [700:5700, 48368:52368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9958 with read ROI [700:5700, 48368:52368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 48368:52368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/546 with read ROI [700:5700, 52368:56368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/907 with read ROI [700:5700, 52368:56368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3016 with read ROI [700:5700, 52368:56368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9230 with read ROI [700:5700, 52368:56368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10751 with read ROI [700:5700, 52368:56368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 52368:56368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/665 with read ROI [700:5700, 56368:60368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1074 with read ROI [700:5700, 56368:60368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3759 with read ROI [700:5700, 56368:60368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9244 with read ROI [700:5700, 56368:60368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9985 with read ROI [700:5700, 56368:60368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/11585 with read ROI [700:5700, 56368:60368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 56368:60368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/936 with read ROI [700:5700, 60368:64368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1450 with read ROI [700:5700, 60368:64368, 16368:20368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 16368:20368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4615 with read ROI [700:5700, 60368:64368, 56368:60368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/9259 with read ROI [700:5700, 60368:64368, 88368:92368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10780 with read ROI [700:5700, 60368:64368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/12461 with read ROI [700:5700, 60368:64368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 60368:64368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/952 with read ROI [700:5700, 64368:68368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1105 with read ROI [700:5700, 64368:68368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1466 with read ROI [700:5700, 64368:68368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3061 with read ROI [700:5700, 64368:68368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7906 with read ROI [700:5700, 64368:68368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 64368:68368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2453 with read ROI [700:5700, 68368:72368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10033 with read ROI [700:5700, 68368:72368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 68368:72368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3825 with read ROI [700:5700, 72368:76368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10831 with read ROI [700:5700, 72368:76368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 72368:76368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3466 with read ROI [700:5700, 76368:80368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 76368:80368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10850 with read ROI [700:5700, 76368:80368, 80368:84368] (5000, 4000, 4000) and write ROI [700:5700, 76368:80368, 80368:84368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5666 with read ROI [700:5700, 80368:84368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/12551 with read ROI [700:5700, 80368:84368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 80368:84368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10111 with read ROI [700:5700, 84368:88368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 84368:88368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/16468 with read ROI [700:5700, 88368:92368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/17549 with read ROI [700:5700, 88368:92368, 96368:100368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 96368:100368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/19853 with read ROI [700:5700, 88368:92368, 104368:108368] (5000, 4000, 4000) and write ROI [700:5700, 88368:92368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2576 with read ROI [700:5700, 92368:96368, 368:4368] (5000, 4000, 4000) and write ROI [700:5700, 92368:96368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3552 with read ROI [700:5700, 92368:96368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 92368:96368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4336 with read ROI [700:5700, 92368:96368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 92368:96368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5236 with read ROI [700:5700, 92368:96368, 28368:32368] (5000, 4000, 4000) and write ROI [700:5700, 92368:96368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6260 with read ROI [700:5700, 92368:96368, 36368:40368] (5000, 4000, 4000) and write ROI [700:5700, 92368:96368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7416 with read ROI [700:5700, 92368:96368, 44368:48368] (5000, 4000, 4000) and write ROI [700:5700, 92368:96368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8712 with read ROI [700:5700, 92368:96368, 52368:56368] (5000, 4000, 4000) and write ROI [700:5700, 92368:96368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10156 with read ROI [700:5700, 92368:96368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 92368:96368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/11756 with read ROI [700:5700, 92368:96368, 68368:72368] (5000, 4000, 4000) and write ROI [700:5700, 92368:96368, 68368:72368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/13520 with read ROI [700:5700, 92368:96368, 76368:80368] (5000, 4000, 4000) and write ROI [700:5700, 92368:96368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/15456 with read ROI [700:5700, 92368:96368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 92368:96368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/17572 with read ROI [700:5700, 92368:96368, 92368:96368] (5000, 4000, 4000) and write ROI [700:5700, 92368:96368, 92368:96368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/19876 with read ROI [700:5700, 92368:96368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 92368:96368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/22376 with read ROI [700:5700, 92368:96368, 108368:111944] (5000, 4000, 3576) and write ROI [700:5700, 92368:96368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3225 with read ROI [700:5700, 96368:100368, 4368:8368] (5000, 4000, 4000) and write ROI [700:5700, 96368:100368, 4368:8368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3954 with read ROI [700:5700, 96368:100368, 12368:16368] (5000, 4000, 4000) and write ROI [700:5700, 96368:100368, 12368:16368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4795 with read ROI [700:5700, 96368:100368, 20368:24368] (5000, 4000, 4000) and write ROI [700:5700, 96368:100368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5260 with read ROI [700:5700, 96368:100368, 24368:28368] (5000, 4000, 4000) and write ROI [700:5700, 96368:100368, 24368:28368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/6284 with read ROI [700:5700, 96368:100368, 32368:36368] (5000, 4000, 4000) and write ROI [700:5700, 96368:100368, 32368:36368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/7440 with read ROI [700:5700, 96368:100368, 40368:44368] (5000, 4000, 4000) and write ROI [700:5700, 96368:100368, 40368:44368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8736 with read ROI [700:5700, 96368:100368, 48368:52368] (5000, 4000, 4000) and write ROI [700:5700, 96368:100368, 48368:52368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/10960 with read ROI [700:5700, 96368:100368, 60368:64368] (5000, 4000, 4000) and write ROI [700:5700, 96368:100368, 60368:64368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/13544 with read ROI [700:5700, 96368:100368, 72368:76368] (5000, 4000, 4000) and write ROI [700:5700, 96368:100368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/16515 with read ROI [700:5700, 96368:100368, 84368:88368] (5000, 4000, 4000) and write ROI [700:5700, 96368:100368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/21125 with read ROI [700:5700, 96368:100368, 100368:104368] (5000, 4000, 4000) and write ROI [700:5700, 96368:100368, 100368:104368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3601 with read ROI [700:5700, 100368:103240, 4368:8368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 4368:8368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5285 with read ROI [700:5700, 100368:103240, 20368:24368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 20368:24368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/8095 with read ROI [700:5700, 100368:103240, 40368:44368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 40368:44368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/12666 with read ROI [700:5700, 100368:103240, 64368:68368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 64368:68368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/19925 with read ROI [700:5700, 100368:103240, 92368:96368] (5000, 2872, 4000) and write ROI [700:5700, 100368:103240, 92368:96368] (5000, 2872, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3 with read ROI [5700:10700, 368:4368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/122 with read ROI [5700:10700, 368:4368, 28368:32368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 28368:32368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/682 with read ROI [5700:10700, 368:4368, 56368:60368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 56368:60368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2026 with read ROI [5700:10700, 368:4368, 84368:88368] (5000, 4000, 4000) and write ROI [5700:10700, 368:4368, 84368:88368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/4062 with read ROI [5700:10700, 368:4368, 108368:111944] (5000, 4000, 3576) and write ROI [5700:10700, 368:4368, 108368:111944] (5000, 4000, 3576)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/88 with read ROI [5700:10700, 4368:8368, 20368:24368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/459 with read ROI [5700:10700, 4368:8368, 44368:48368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 44368:48368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1775 with read ROI [5700:10700, 4368:8368, 76368:80368] (5000, 4000, 4000) and write ROI [5700:10700, 4368:8368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/17 with read ROI [5700:10700, 8368:12368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/127 with read ROI [5700:10700, 8368:12368, 20368:24368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 20368:24368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/1778 with read ROI [5700:10700, 8368:12368, 72368:76368] (5000, 4000, 4000) and write ROI [5700:10700, 8368:12368, 72368:76368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/980 with read ROI [5700:10700, 12368:16368, 52368:56368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 52368:56368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/2311 with read ROI [5700:10700, 12368:16368, 76368:80368] (5000, 4000, 4000) and write ROI [5700:10700, 12368:16368, 76368:80368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/576 with read ROI [5700:10700, 16368:20368, 36368:40368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 36368:40368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/3670 with read ROI [5700:10700, 16368:20368, 88368:92368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 88368:92368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/5472 with read ROI [5700:10700, 16368:20368, 104368:108368] (5000, 4000, 4000) and write ROI [5700:10700, 16368:20368, 104368:108368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/78 with read ROI [5700:10700, 20368:24368, 368:4368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 368:4368] (5000, 4000, 4000)
upload_edges_macroglossum_lamina_setup_03_0_2_FBOK_600000_0/187 with read ROI [5700:10700, 20368:24368, 12368:16368] (5000, 4000, 4000) and write ROI [5700:10700, 20368:24368, 12368:16368] (5000, 4000, 4000)
